id,speech_source,noise_type,noise_source,snr_db,impulse_timestamp_sec
pair_00000,data/clean/LibriSpeech\dev-clean\1988\24833\1988-24833-0003.wav,impulsive,data/clean/SESA\train\gunshot_023.wav,10.68,3.4593125
pair_00001,data/clean/LibriSpeech\dev-clean\777\126732\777-126732-0012.wav,nonstationary,data/clean/musan/music\fma-western-art\music-fma-wa-0067.wav,-3.62,
pair_00002,data/clean/LibriSpeech\dev-clean\652\130737\652-130737-0012.wav,impulsive,data/clean/SESA\test\explosion_113.wav,-0.04,0.50375
pair_00003,data/clean/LibriSpeech\dev-clean\5338\284437\5338-284437-0026.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0064.wav,1.19,
pair_00004,data/clean/LibriSpeech\dev-clean\1673\143397\1673-143397-0011.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0643.wav + data/clean/SESA\train\gunshot_051.wav,13.11,1.762875
pair_00005,data/clean/LibriSpeech\dev-clean\1993\147964\1993-147964-0000.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0169.wav,-3.5,
pair_00006,data/clean/LibriSpeech\dev-clean\7976\105575\7976-105575-0022.wav,nonstationary,data/clean/musan/music\rfm\music-rfm-0012.wav,10.8,
pair_00007,data/clean/LibriSpeech\dev-clean\2078\142845\2078-142845-0041.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0210.wav,1.92,
pair_00008,data/clean/LibriSpeech\dev-clean\7976\110124\7976-110124-0011.wav,nonstationary,data/clean/musan/music\jamendo\music-jamendo-0134.wav,-4.23,
pair_00009,data/clean/LibriSpeech\dev-clean\3536\8226\3536-8226-0029.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0286.wav,10.0,
pair_00010,data/clean/LibriSpeech\dev-clean\3576\138058\3576-138058-0038.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0099.wav,1.96,
pair_00011,data/clean/LibriSpeech\dev-clean\6241\66616\6241-66616-0019.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0493.wav,-4.76,
pair_00012,data/clean/LibriSpeech\dev-clean\777\126732\777-126732-0042.wav,impulsive,data/clean/SESA\train\explosion_016.wav,7.54,1.8120625
pair_00013,data/clean/LibriSpeech\dev-clean\174\50561\174-50561-0000.wav,nonstationary,data/clean/musan/music\fma-western-art\music-fma-wa-0019.wav,7.77,
pair_00014,data/clean/LibriSpeech\dev-clean\174\84280\174-84280-0006.wav,impulsive,data/clean/SESA\test\gunshot_032.wav,5.93,0.094875
pair_00015,data/clean/LibriSpeech\dev-clean\5536\43363\5536-43363-0015.wav,impulsive,data/clean/SESA\train\explosion_137.wav,-2.48,0.1578125
pair_00016,data/clean/LibriSpeech\dev-clean\2412\153948\2412-153948-0007.wav,stationary,data/clean/musan/noise\free-sound\noise-free-sound-0489.wav,-1.49,
pair_00017,data/clean/LibriSpeech\dev-clean\2428\83699\2428-83699-0034.wav,mixed,data/clean/musan/noise\free-sound\noise-free-sound-0373.wav + data/clean/SESA\train\siren_046.wav,14.98,0.8205
